Connection Established...
Command sent: b'1'
Image Process started
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:True, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:True, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:False
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:False, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:False, pink:False
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
Green:True, red:True, pink:True
BOTH ARE PRESENT...
Green:True, red:True, pink:False
BOTH ARE PRESENT...
Green:True, red:True, pink:False
BOTH ARE PRESENT...
Green:True, red:True, pink:False
BOTH ARE PRESENT...
Green:True, red:True, pink:False
BOTH ARE PRESENT...
Green:True, red:True, pink:False
BOTH ARE PRESENT...
Green:True, red:True, pink:False
BOTH ARE PRESENT...
Green:True, red:True, pink:False
BOTH ARE PRESENT...
Green:True, red:True, pink:False
BOTH ARE PRESENT...
Green:True, red:True, pink:False
